Year,Edition,Card Number In set,Name,Team,Points,OnBase,Speed,Position,Handedness,Icon,Pop Up,Strikeout,Ground Ball,Fly Ball,Walk,Single,Single Plus,Double,Triple,Home Run
'03,UL,252,Barry Bonds,Giants,900,16,12,LF-RF+0,L,"V,S,HR",-,1-,2-,3-,4-12,13-16,-,17-18,-,19+
'02,SS,117,*Frank Thomas '94,White Sox,810,15,12,1B+1,R,,-,1-3,4-5,6-7,8-14,15-,-,16-17,-,18+
'02,SS,98,*Jeff Bagwell '94,Astros,800,14,12,1B+1,R,,-,1-3,4-,5-6,7-13,14-,-,15-16,-,17+
'02,SS,111,*Larry Walker '97,Rockies,730,14,18,LF-RF+3,L,,-,1-3,4-,5-7,8-11,12-14,-,15-17,-,18+
'04,UL,78,*Craig Wilson,Pirates,690,14,10,"1B+1, LF-RF+0",R,,-,1-2,3-5,6-,7-9,10-14,-,15-18,-,19+
'02,UL,283,Barry Bonds,Giants,860,14,14,LF-RF+0,L,,-,1-2,3-,4-5,6-13,14-,-,15-16,-,17+
'02,SS,104,*Jim Thome '96,Indians,530,14,12,1B+1,L,,-,1-5,6-,7-,8-13,14-,-,15-17,-,18+
'02,SS,106,*Rickey Henderson '90,Athletics,670,14,26,LF-RF+2,R,,-,1-,2-4,5-6,7-12,13-,14-15,16-18,19-,20+
'02,ASG,27,Barry Bonds,Giants,910,14,14,LF-RF+0,L,,-,1-2,3-,4-5,6-14,15-,-,16-,-,17+
'04,UL,113,**Todd Helton,Rockies,650,14,11,1B+1,L,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'04,UL,314,Albert Pujols,Cardinals,810,14,11,"LF-RF+1, 1B+0",R,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'02,SS,94,*Barry Bonds '90,Pirates,680,13,21,LF-RF+3,L,,-,1-3,4-5,6-,7-12,13-14,15-,16-17,-,18+
'04,UL,125,**Mike Schmidt,Phillies,690,13,14,3B+4,R,V HR G S,-,1-3,4-,5-6,7-11,12-15,-,16-,-,17+
'04,UL,120,**Richie Ashburn,Phillies,480,14,20,CF+3,L,SB S,-,1-,2-4,5-,6-9,10-14,15-17,18-,19-24,25+
'04,CC,120,*Willy McCovey,Giants,700,13,11,1B+1,L,V HR S,-,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
'02,SS,102,*Gary Sheffield '96,Marlins,640,14,15,LF-RF+1,R,,-,1-2,3-,4-6,7-13,14-15,-,16-17,-,18+
'02,SS,120,*Ken Griffey Jr. '97,Mariners,540,13,15,CF+4,L,,-,1-4,5-,6-7,8-12,13-14,15-,16-,-,17+
